Paper Title;Year;Author;Citation;Publication;Link
The dark (patterns) side of UX design;2018;CM Gray;299;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3173574.3174108
Dark patterns in the design of games;2013;JP Zagal;167;diva-portal.org;https://www.diva-portal.org/smash/record.jsf?pid=diva2:1043332
Cognitive biases, dark patterns, and the 'privacy paradox';2020;AE Waldman;66;Elsevier;https://www.sciencedirect.com/science/article/pii/S2352250X19301484
[PDF][PDF] Tales from the Dark Side: Privacy Dark Strategies and Privacy Dark Patterns.;2016;C B̦sch;121;rolandhubscher.org;http://rolandhubscher.org/courses/hf765/readings/Boesch_2016.pdf
Dark patterns at scale: Findings from a crawl of 11K shopping websites;2019;A Mathur;166;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3359183
Shining a light on dark patterns;2021;J Luguri;69;academic.oup.com;https://academic.oup.com/jla/article-abstract/13/1/43/6180579
UI dark patterns and where to find them: a study on mobile applications and user perception;2020;L Di;44;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3313831.3376600
Dark Patterns: Past, Present, and Future: The evolution of tricky user interfaces;2020;A Narayanan;48;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3400899.3400901
Dark patterns after the GDPR: Scraping consent pop-ups and demonstrating their influence;2020;M Nouwens;145;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3313831.3376321
Dark patterns in proxemic interactions: a critical perspective;2014;S Greenberg;109;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/2598510.2598541
[PDF][PDF] Dark Patterns of Explainability, Transparency, and User Control for Intelligent Systems.;2019;M Chromik;41;medien.ifi.lmu.de;https://www.medien.ifi.lmu.de/pubdb/publications/pub/chromik2019iuiworkshop/chromik2019iuiworkshop.pdf
Dark patterns in the media: A systematic review;2019;C Cara;11;ceeol.com;https://www.ceeol.com/search/article-detail?id=840080
Dark patterns and the legal requirements of consent banners: An interaction criticism perspective;2021;CM Gray;31;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3411764.3445779
What can CHI do about dark patterns?;2021;K Lukoff;6;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3411763.3441360
Are Dark Patterns Anticompetitive?;2020;G Day;20;HeinOnline;https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/bamalr72&section=5
End User Accounts of Dark Patterns as Felt Manipulation;2021;CM Gray;9;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3479516
Dark patterns: Interface design, augmentation and crisis;2015;M Dieter;20;Springer;https://link.springer.com/chapter/10.1057/9781137437204_13
A Comparative Study of Dark Patterns Across Mobile and Web Modalities;2021;J Gunawan;0;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3918549
Circumvention by design-dark patterns in cookie consent for online news outlets;2020;TH Soe;32;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3419249.3420132
[PDF][PDF] Building dark patterns into platforms: How GamerGate perturbed Twitter's user experience;2018;M Trice;36;researchgate.net;https://www.researchgate.net/profile/Michael-Trice/publication/337155548_Building_Dark_Patterns_into_Platforms_How_GamerGate_Perturbed_Twitter's_User_Experience/links/5dc86bc692851c8180435536/Building-Dark-Patterns-into-Platforms-How-GamerGate-Perturbed-Twitters-User-Experience.pdf
